"","parcelid","logerror","transactiondate"
"63793",12890241,0.0119,"2016-08-05"
"63906",14621389,0.0119,"2016-08-08"
"63936",14419692,0.0119,"2016-08-08"
"63947",12557616,0.0119,"2016-08-08"
"63949",12840045,0.0119,"2016-08-08"
"64085",14009846,0.0119,"2016-08-08"
"64120",17120859,0.0119,"2016-08-08"
"64504",14415832,0.0119,"2016-08-09"
"64554",12760749,0.0119,"2016-08-09"
"64621",11434202,0.0119,"2016-08-10"
"64645",11296961,0.0119,"2016-08-10"
"64694",14096067,0.0119,"2016-08-10"
"64888",10897520,0.0119,"2016-08-10"
"65040",13956593,0.0119,"2016-08-10"
"65341",12011499,0.0119,"2016-08-11"
"65350",14740012,0.0119,"2016-08-11"
"65686",11317306,0.0119,"2016-08-12"
"65949",11162172,0.0119,"2016-08-12"
"65977",12663627,0.0119,"2016-08-12"
"66085",12070656,0.0119,"2016-08-12"
"66254",11067065,0.0119,"2016-08-15"
"66668",14309133,0.0119,"2016-08-16"
"66685",12429983,0.0119,"2016-08-16"
"66995",12060998,0.0119,"2016-08-17"
"67049",14473537,0.0119,"2016-08-17"
"67124",10736657,0.0119,"2016-08-17"
"67254",12965184,0.0119,"2016-08-17"
"67274",10848655,0.0119,"2016-08-17"
"67368",17263138,0.0119,"2016-08-18"
"67418",14221914,0.0119,"2016-08-18"
"67496",12040382,0.0119,"2016-08-18"
"67759",11345799,0.0119,"2016-08-19"
"67852",11723598,0.0119,"2016-08-19"
"67927",12251455,0.0119,"2016-08-19"
"68112",12299889,0.0119,"2016-08-19"
"68241",12508795,0.0119,"2016-08-19"
"68250",11324215,0.0119,"2016-08-19"
"68256",11226875,0.0119,"2016-08-19"
"68322",11643542,0.0119,"2016-08-22"
"68344",12228127,0.0119,"2016-08-22"
"68350",12778947,0.0119,"2016-08-22"
"68625",10981358,0.0119,"2016-08-23"
"68692",12034978,0.0119,"2016-08-23"
"69015",14652501,0.0119,"2016-08-23"
"69147",14168495,0.0119,"2016-08-24"
"69519",14482434,0.0119,"2016-08-25"
"69537",17235828,0.0119,"2016-08-25"
"69614",11860194,0.0119,"2016-08-25"
"69698",14106643,0.0119,"2016-08-25"
"69832",17187422,0.0119,"2016-08-25"
"70029",11299735,0.0119,"2016-08-26"
"70281",14136036,0.0119,"2016-08-26"
"70847",10992298,0.0119,"2016-08-29"
"71274",14192355,0.0119,"2016-08-30"
"71317",17187891,0.0119,"2016-08-30"
"71371",17217877,0.0119,"2016-08-30"
"71485",10805115,0.0119,"2016-08-31"
"71572",14683218,0.0119,"2016-08-31"
"71673",11659973,0.0119,"2016-08-31"
"71678",10856196,0.0119,"2016-08-31"
"71737",11143948,0.0119,"2016-08-31"
"71807",12394723,0.0119,"2016-08-31"
"71844",13026289,0.0119,"2016-08-31"
"72176",17194759,0.0119,"2016-08-31"
"72325",14622624,0.0119,"2016-09-01"
"72432",11194875,0.0119,"2016-09-01"
"72469",14479017,0.0119,"2016-09-01"
"72517",11185633,0.0119,"2016-09-01"
"72554",12174904,0.0119,"2016-09-01"
"72679",10723074,0.0119,"2016-09-01"
"72689",11930578,0.0119,"2016-09-01"
"72820",14601737,0.0119,"2016-09-02"
"72829",14718792,0.0119,"2016-09-02"
"72847",11175204,0.0119,"2016-09-02"
"72912",14346959,0.0119,"2016-09-02"
"73039",11213015,0.0119,"2016-09-02"
"73069",14505521,0.0119,"2016-09-02"
"73107",12996607,0.0119,"2016-09-02"
"73122",17127785,0.0119,"2016-09-02"
"73138",12701078,0.0119,"2016-09-02"
"73328",10810466,0.0119,"2016-09-06"
"73424",11935681,0.0119,"2016-09-06"
"73472",14607919,0.0119,"2016-09-06"
"73489",11550899,0.0119,"2016-09-06"
"73510",13971253,0.0119,"2016-09-06"
"73648",14729630,0.0119,"2016-09-07"
"73730",12955313,0.0119,"2016-09-07"
"73775",11848056,0.0119,"2016-09-07"
"73798",11511178,0.0119,"2016-09-07"
"73818",11169991,0.0119,"2016-09-07"
"73964",14150403,0.0119,"2016-09-08"
"74029",14643864,0.0119,"2016-09-08"
"74124",17221023,0.0119,"2016-09-08"
"74137",12644464,0.0119,"2016-09-08"
"74266",13998255,0.0119,"2016-09-08"
"74289",12859089,0.0119,"2016-09-08"
"74327",13072043,0.0119,"2016-09-08"
"75224",14750383,0.0119,"2016-09-12"
"75273",14707902,0.0119,"2016-09-13"
"75735",13021359,0.0119,"2016-09-14"
"75760",14654754,0.0119,"2016-09-14"
"75763",11083482,0.0119,"2016-09-14"
"75914",11389470,0.0119,"2016-09-14"
"75923",14715398,0.0119,"2016-09-14"
"76168",12842453,0.0119,"2016-09-15"
"76430",11754634,0.0119,"2016-09-15"
"76507",14501448,0.0119,"2016-09-16"
"76980",14637949,0.0119,"2016-09-16"
"77111",11790345,0.0119,"2016-09-19"
"77228",10899813,0.0119,"2016-09-19"
"77309",10803394,0.0119,"2016-09-19"
"77417",14480165,0.0119,"2016-09-20"
"77489",13894029,0.0119,"2016-09-20"
"77501",17273077,0.0119,"2016-09-20"
"77566",13097860,0.0119,"2016-09-20"
"77598",14601642,0.0119,"2016-09-20"
"77658",17226554,0.0119,"2016-09-20"
"77673",14631541,0.0119,"2016-09-20"
"77799",10782046,0.0119,"2016-09-20"
"77861",17272407,0.0119,"2016-09-21"
"78054",10961758,0.0119,"2016-09-21"
"78240",11784596,0.0119,"2016-09-22"
"78270",10762519,0.0119,"2016-09-22"
"78501",12788050,0.0119,"2016-09-22"
"78586",14681271,0.0119,"2016-09-22"
"78721",14423152,0.0119,"2016-09-23"
"78742",14038907,0.0119,"2016-09-23"
"78853",11236755,0.0119,"2016-09-23"
"78887",12900085,0.0119,"2016-09-23"
"78924",17210335,0.0119,"2016-09-23"
"78970",11284000,0.0119,"2016-09-23"
"79027",11071903,0.0119,"2016-09-23"
"79096",11275972,0.0119,"2016-09-23"
"79153",14739561,0.0119,"2016-09-23"
"79238",10737966,0.0119,"2016-09-26"
"79307",14169466,0.0119,"2016-09-26"
"79525",14396124,0.0119,"2016-09-27"
"79711",12512237,0.0119,"2016-09-27"
"79756",17299345,0.0119,"2016-09-27"
"79769",14177486,0.0119,"2016-09-27"
"79838",12752407,0.0119,"2016-09-27"
"79881",12832873,0.0119,"2016-09-27"
"79972",11696003,0.0119,"2016-09-28"
"80430",14160504,0.0119,"2016-09-29"
"80451",12272567,0.0119,"2016-09-29"
"80545",11124049,0.0119,"2016-09-29"
"80682",10798813,0.0119,"2016-09-29"
"80707",14181705,0.0119,"2016-09-29"
"80760",10803166,0.0119,"2016-09-29"
"80841",14469440,0.0119,"2016-09-29"
"80877",12831838,0.0119,"2016-09-30"
"80990",12746934,0.0119,"2016-09-30"
"81169",12694787,0.0119,"2016-09-30"
"81205",11845177,0.0119,"2016-09-30"
"81465",14671783,0.0119,"2016-09-30"
"81505",14711177,0.0119,"2016-09-30"
"81544",10915182,0.0119,"2016-09-30"
"81701",13034937,0.0119,"2016-09-30"
"81707",11575446,0.0119,"2016-09-30"
"81835",12640033,0.0119,"2016-10-03"
"81886",11663181,0.0119,"2016-10-03"
"81951",12253444,0.0119,"2016-10-03"
"81974",14671996,0.0119,"2016-10-03"
"81980",17221831,0.0119,"2016-10-03"
"82128",10862920,0.0119,"2016-10-03"
"82175",14722349,0.0119,"2016-10-04"
"82282",14605510,0.0119,"2016-10-04"
"82412",12492972,0.0119,"2016-10-04"
"82564",10776158,0.0119,"2016-10-05"
"82594",13095478,0.0119,"2016-10-05"
"82744",10978627,0.0119,"2016-10-05"
"82760",11643595,0.0119,"2016-10-05"
"82840",12322849,0.0119,"2016-10-05"
"82849",12435474,0.0119,"2016-10-05"
"82863",14349405,0.0119,"2016-10-06"
"82973",11597992,0.0119,"2016-10-06"
"83082",10906831,0.0119,"2016-10-06"
"83089",11148812,0.0119,"2016-10-06"
"83260",14508279,0.0119,"2016-10-07"
"83277",13033852,0.0119,"2016-10-07"
"83293",17110751,0.0119,"2016-10-07"
"83298",14742017,0.0119,"2016-10-07"
"83349",10997950,0.0119,"2016-10-07"
"83401",10832892,0.0119,"2016-10-07"
"83506",13853215,0.0119,"2016-10-07"
"83522",14498103,0.0119,"2016-10-07"
"83523",13843229,0.0119,"2016-10-07"
"83664",14425650,0.0119,"2016-10-07"
"83782",11550423,0.0119,"2016-10-07"
"84117",14245595,0.0119,"2016-10-11"
"84197",14686256,0.0119,"2016-10-12"
"84352",11133040,0.0119,"2016-10-12"
"84455",12666079,0.0119,"2016-10-12"
"84546",14238502,0.0119,"2016-10-12"
"84548",11306487,0.0119,"2016-10-12"
"84767",11502311,0.0119,"2016-10-13"
"84786",12885049,0.0119,"2016-10-13"
"84878",11553792,0.0119,"2016-10-13"
"84928",11026696,0.0119,"2016-10-13"
"85197",11848185,0.0119,"2016-10-14"
"85258",11129995,0.0119,"2016-10-14"
"85754",10827766,0.0119,"2016-10-17"
"85970",12646622,0.0119,"2016-10-20"
"86143",11569247,0.0119,"2016-10-24"
"86159",12201179,0.0119,"2016-10-24"
"86183",12410228,0.0119,"2016-10-24"
"86214",17271979,0.0119,"2016-10-25"
"86265",13911016,0.0119,"2016-10-25"
"86285",11739661,0.0119,"2016-10-25"
"86291",12511209,0.0119,"2016-10-25"
"86626",10851321,0.0119,"2016-10-30"
"86830",10855710,0.0119,"2016-11-02"
"86874",13905621,0.0119,"2016-11-02"
"86899",14241727,0.0119,"2016-11-03"
"86917",12480650,0.0119,"2016-11-03"
"86987",14427078,0.0119,"2016-11-04"
"87051",10998444,0.0119,"2016-11-04"
"87085",12512942,0.0119,"2016-11-07"
"87216",12573450,0.0119,"2016-11-08"
"87310",14616104,0.0119,"2016-11-09"
"87311",12903514,0.0119,"2016-11-09"
"87468",12557714,0.0119,"2016-11-14"
"87628",14727748,0.0119,"2016-11-15"
"87648",14178582,0.0119,"2016-11-16"
"87970",11040310,0.0119,"2016-11-21"
"88003",12562585,0.0119,"2016-11-21"
"88184",14441784,0.0119,"2016-11-23"
"88279",14487274,0.0119,"2016-11-28"
"88342",14394339,0.0119,"2016-11-29"
"88380",14444386,0.0119,"2016-11-29"
"88500",11489332,0.0119,"2016-11-30"
"88565",11284811,0.0119,"2016-12-01"
"88757",11566297,0.0119,"2016-12-05"
"88909",14157325,0.0119,"2016-12-07"
"89039",13100695,0.0119,"2016-12-09"
"89089",14463176,0.0119,"2016-12-11"
"89111",12757802,0.0119,"2016-12-12"
"89323",12706551,0.0119,"2016-12-14"
"89378",14119313,0.0119,"2016-12-15"
"89483",13980741,0.0119,"2016-12-16"
"89759",12729119,0.0119,"2016-12-22"
"89827",11460845,0.0119,"2016-12-22"
"89905",10713907,0.0119,"2016-12-23"
"89947",10809533,0.0119,"2016-12-27"
"90002",12465073,0.0119,"2016-12-28"
"90032",14632548,0.0119,"2016-12-28"
"90154",11496969,0.0119,"2016-12-29"
"90223",13076357,0.0119,"2016-12-30"
"266",14604634,0.0129,"2016-01-04"
"323",12109114,0.0129,"2016-01-05"
"334",12737237,0.0129,"2016-01-05"
"423",12567149,0.0129,"2016-01-05"
"517",12759574,0.0129,"2016-01-05"
"551",11656905,0.0129,"2016-01-05"
"572",10902690,0.0129,"2016-01-05"
"595",14390486,0.0129,"2016-01-05"
"693",17280214,0.0129,"2016-01-06"
"756",13938304,0.0129,"2016-01-06"
"762",11547099,0.0129,"2016-01-06"
"829",14074219,0.0129,"2016-01-06"
"886",14470078,0.0129,"2016-01-06"
"977",11133977,0.0129,"2016-01-07"
"1010",11544927,0.0129,"2016-01-07"
"1141",12978133,0.0129,"2016-01-07"
"1467",17132276,0.0129,"2016-01-08"
"1573",14446751,0.0129,"2016-01-10"
"1707",12261897,0.0129,"2016-01-11"
"1803",11417320,0.0129,"2016-01-12"
"1841",17087246,0.0129,"2016-01-12"
"1987",14436680,0.0129,"2016-01-12"
"2006",14043137,0.0129,"2016-01-12"
"2134",17227401,0.0129,"2016-01-13"
"2200",12102466,0.0129,"2016-01-13"
"2474",14042621,0.0129,"2016-01-14"
"2585",11567219,0.0129,"2016-01-14"
"2586",11011326,0.0129,"2016-01-14"
"2692",11279363,0.0129,"2016-01-14"
"2727",14632536,0.0129,"2016-01-14"
"2816",14606798,0.0129,"2016-01-15"
"2869",11167880,0.0129,"2016-01-15"
"3232",10796618,0.0129,"2016-01-18"
"3579",12400563,0.0129,"2016-01-20"
"3647",11455121,0.0129,"2016-01-20"
"3969",13911127,0.0129,"2016-01-21"
"4041",11595108,0.0129,"2016-01-21"
"4181",12919883,0.0129,"2016-01-21"
"4193",14682745,0.0129,"2016-01-21"
"4211",11154021,0.0129,"2016-01-21"
"4264",17281642,0.0129,"2016-01-22"
"4270",10883535,0.0129,"2016-01-22"
"4271",10883535,0.0129,"2016-09-30"
"4591",14090807,0.0129,"2016-01-23"
"4599",10996214,0.0129,"2016-01-24"
"4663",14630358,0.0129,"2016-01-24"
"4826",11097236,0.0129,"2016-01-25"
"4903",14409491,0.0129,"2016-01-26"
"5023",13849951,0.0129,"2016-01-26"
"5275",17123340,0.0129,"2016-01-27"
"5343",14217288,0.0129,"2016-01-27"
"5364",12946819,0.0129,"2016-01-27"
"5464",11178579,0.0129,"2016-01-27"
"5568",14373246,0.0129,"2016-01-27"
"5696",17124637,0.0129,"2016-01-28"
"5779",11460308,0.0129,"2016-01-28"
"5832",11107747,0.0129,"2016-01-28"
"5926",10805255,0.0129,"2016-01-28"
"6154",12990407,0.0129,"2016-01-29"
"6318",11281969,0.0129,"2016-01-29"
"6559",10970832,0.0129,"2016-01-31"
"6646",11348323,0.0129,"2016-02-01"
"6813",11213756,0.0129,"2016-02-01"
"6885",17093800,0.0129,"2016-02-02"
"7030",11195716,0.0129,"2016-02-02"
"7071",11508242,0.0129,"2016-02-02"
"7379",14762044,0.0129,"2016-02-03"
"7501",11513414,0.0129,"2016-02-04"
"7541",11276891,0.0129,"2016-02-04"
"7559",14488209,0.0129,"2016-02-04"
"7564",14143053,0.0129,"2016-02-04"
"7687",10842705,0.0129,"2016-02-05"
"7733",12156354,0.0129,"2016-02-05"
"7735",11089621,0.0129,"2016-02-05"
"7818",14608444,0.0129,"2016-02-05"
"7844",11138893,0.0129,"2016-02-05"
"8033",12130864,0.0129,"2016-02-08"
"8101",14048026,0.0129,"2016-02-08"
"8315",11210967,0.0129,"2016-02-09"
"8374",14187991,0.0129,"2016-02-09"
"8548",11131900,0.0129,"2016-02-10"
"8660",12793758,0.0129,"2016-02-10"
"8683",12641973,0.0129,"2016-02-10"
"8862",14635951,0.0129,"2016-02-11"
"9041",12962034,0.0129,"2016-02-12"
"9168",17218981,0.0129,"2016-02-12"
"9233",11445515,0.0129,"2016-02-12"
"9335",12513295,0.0129,"2016-02-15"
"9419",14006868,0.0129,"2016-02-16"
"9488",17276922,0.0129,"2016-02-16"
"9562",11595193,0.0129,"2016-02-16"
"9587",12601764,0.0129,"2016-02-16"
"9636",12328224,0.0129,"2016-02-17"
"9705",14465272,0.0129,"2016-02-17"
"9896",14738290,0.0129,"2016-02-17"
"9908",14422703,0.0129,"2016-02-17"
"10062",12273333,0.0129,"2016-02-18"
"10149",14122929,0.0129,"2016-02-18"
"10440",11286333,0.0129,"2016-02-19"
"10473",14632491,0.0129,"2016-02-19"
"10559",14168980,0.0129,"2016-02-19"
"10612",12509815,0.0129,"2016-02-19"
"10627",12147523,0.0129,"2016-02-20"
"10634",12278521,0.0129,"2016-02-20"
"10748",14244834,0.0129,"2016-02-22"
"10775",17149203,0.0129,"2016-02-22"
"10855",14471904,0.0129,"2016-02-22"
"10873",14011385,0.0129,"2016-02-22"
"10955",12250875,0.0129,"2016-02-22"
"10982",13952659,0.0129,"2016-02-23"
"11120",14306893,0.0129,"2016-02-23"
"11255",12465949,0.0129,"2016-02-23"
"11305",11069133,0.0129,"2016-02-24"
"11425",17291166,0.0129,"2016-02-24"
"11622",12573533,0.0129,"2016-02-25"
"11638",14486908,0.0129,"2016-02-25"
"11778",17206697,0.0129,"2016-02-25"
"11824",11007488,0.0129,"2016-02-25"
